nid	nType	nId1	nId2	nId3	nId4	nId5	nId6	nId7	nId8	nId9	nId10	nId11	nId12	nId13	nId14	nId15	nId16	nId17	nId18	nId19	nId20
1	1	6682	6682	6682	6682	6698	6698	6698	6698	6701	6701	6701	6701	6704	6704						
2	1	6682	6682	6682	6682	6698	6698	6698	6698	6701	6701	6701	6701	6704	6704	6704	6704				
3	1	6682	6682	6698	6698	6701	6701	6704	6704	6683	6683	6702	6702								
4	1	6682	6682	6698	6698	6701	6701	6704	6704	6683	6683	6702	6702	6699	6699	6705	6705				
5	1	6682	6682	6698	6698	6701	6701	6704	6704	6698	6698	6701	6701	6699	6699	6705	6705				
6	1	6682	6682	6698	6698	6699	6699	6705	6705	6683	6683	6702	6702	6699	6699	6705	6705				
7	1	6701	6701	6704	6704	6699	6699	6705	6705	6683	6683	6702	6702	6684	6684	6706	6706	6700	6700	6703	6703
8	1	6701	6701	6704	6704	6701	6701	6705	6705	6684	6684	6706	6706	6699	6699	6703	6703	6703	6703		
9	1	6683	6683	6705	6705	6700	6700	6703	6703	6684	6684	6706	6706	6703	6703	6705	6705	6699	6699		
10	1	6682	6682	6698	6698	6701	6701	6704	6704	6683	6683	6702	6702	6699	6699	6705	6705	6699	6699	6705	6705
11	1	6682	6682	6698	6698	6701	6701	6704	6704	6683	6683	6702	6702	6699	6699	6705	6705	6700	6700	6703	6703
12	0	6685																			
