Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		1	3	2	5	1500		5级男甲
		1	3	3	5	1500		5级男皮衣
		1	3	4	5	1500		5级男布衣
		1	3	6	5	750		5级女甲
		1	3	7	5	750		5级女皮衣
		1	3	8	5	750		5级女布衣
		1	7	1	5	5000		5级男鞋子
		1	7	2	5	2000		5级女鞋子
		1	10	1	5	5000		5级护腕
		1	10	2	5	2000		5级手镯
		1	8	1	5	5000		5级腰带
		1	8	2	5	2000		5级腰带
		1	9	2	5	1500		5级男头盔
		1	9	3	5	1500		5级男皮帽
		1	9	4	5	1500		5级男布帽
		1	9	6	5	750		5级女头盔
		1	9	7	5	750		5级女皮帽
		1	9	8	5	750		5级女布帽
		1	1	1	5	400		5级缠手
		1	1	2	5	400		5级剑
		1	1	3	5	400		5级刀
		1	1	4	5	400		5级棍
		1	1	5	5	400		5级枪
		1	1	6	5	400		5级锤
		1	2	2	5	200		5级飞刀
		1	2	3	5	200		5级袖箭
		1	4	1	5	2250		5级戒指
		1	5	1	5	2250		5级项链
		1	6	1	5	2250		5级护身符
		1	11	1	5	1500		5级玉佩
		1	11	2	5	750		5级香囊
		18	1	1	1	10000		1级玄晶
		18	1	1	2	1000		2级玄晶
		18	1	1	3	100		3级玄晶
		17	3	3	3	300000		承仙蜜（大）
