Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	150					250000		
		1	1	1	1	10000		´Ö²¼²øÊÖ
		1	1	2	1	10000		Í­½£
		1	1	3	1	10000		µ¥µ¶
		1	1	4	1	10000		ÖØÄ¾¹÷
		1	1	5	1	10000		³¤Ç¹
		1	1	6	1	10000		Õ½´¸
		1	2	2	1	5000		·Éµ¶
		1	2	3	1	5000		ÐäÀï¼ý
		1	3	2	1	20000		Çá¼×
		1	3	3	1	20000		ÇáÆ¤×°
		1	3	4	1	20000		´Ö²¼³¤ÅÛ
		1	3	6	1	10000		Í­Å®¼×
		1	3	7	1	10000		ÇáÆ¤¼×ÒÂ
		1	3	8	1	10000		½õÉÀ
		1	4	1	1	60000		Í­Ö¸»·
		1	5	1	1	60000		Í­ÏîÁ´
		1	8	1	1	60000		´ÖÂéÑü´ø
		1	8	2	1	30000		Çà²¼Ñü´ø
		1	10	1	1	60000		Í­»¤Íó
		1	10	2	1	30000		ÊÖïí
		18	1	114	1	180000		1¼¶Ðþ¾§
		18	1	114	2	50000		2¼¶Ðþ¾§
		18	1	114	3	10000		3¼¶Ðþ¾§
		18	1	80	1	40000		¸£´ü
