Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	1050					250000		
		1	1	1	7	2100		7级缠手
		1	1	2	7	2100		7级剑
		1	1	3	7	2100		7级刀
		1	1	4	7	2100		7级棍
		1	1	5	7	2100		7级枪
		1	1	6	7	2100		7级锤
		1	2	2	7	1050		7级飞刀
		1	2	3	7	1050		7级弩箭
		1	3	2	7	7000		7级男甲衣
		1	3	3	7	7000		7级男皮衣
		1	3	4	7	7000		7级男布衣
		1	3	6	7	3500		7级女甲衣
		1	3	7	7	3500		7级女皮衣
		1	3	8	7	3500		7级女布衣
		1	5	1	7	21000		7级项链
		1	6	1	7	21000		7级护身符
		1	8	1	7	21000		7级男腰带
		1	8	2	7	10500		7级女腰带
		1	9	2	7	7000		7级男甲帽
		1	9	3	7	7000		7级男皮帽
		1	9	4	7	7000		7级男布帽
		1	9	6	7	3500		7级女甲帽
		1	9	7	7	3500		7级女皮帽
		1	9	8	7	3500		7级女布帽
		1	10	1	7	21000		7级护腕
		1	10	2	7	10500		7级手镯
		1	11	1	7	14000		7级玉佩
		1	11	2	7	7000		7级香囊
		1	3	2	6	7500		6级男甲衣
		1	3	3	6	7500		6级男皮衣
		1	3	4	6	7500		6级男布衣
		1	3	6	6	3750		6级女甲衣
		1	3	7	6	3750		6级女皮衣
		1	3	8	6	3750		6级女布衣
		1	7	1	6	22500		6级男鞋
		1	7	2	6	11250		6级女鞋
		1	8	1	6	22500		6级男腰带
		1	8	2	6	11250		6级女腰带
		1	9	2	6	7500		6级男甲帽
		1	9	3	6	7500		6级男皮帽
		1	9	4	6	7500		6级男布帽
		1	9	6	6	3750		6级女甲帽
		1	9	7	6	3750		6级女皮帽
		1	9	8	6	3750		6级女布帽
		1	1	1	6	2250		6级缠手
		1	1	2	6	2250		6级剑
		1	1	3	6	2250		6级刀
		1	1	4	6	2250		6级棍
		1	1	5	6	2250		6级枪
		1	1	6	6	2250		6级锤
		1	2	2	6	1125		6级飞刀
		1	2	3	6	1125		6级弩箭
		1	4	1	6	22500		6级戒指
		1	6	1	6	22500		6级护身符
		1	11	1	6	15000		6级玉佩
		1	11	2	6	7500		6级香囊
		18	1	114	2	163340		2级玄晶
		18	1	114	3	50000		3级玄晶
		18	1	114	4	20730		4级玄晶
		18	1	114	5	1500		5级玄晶
		2	7	209	7	96		鹰翅靴紫装PVP_金系
		2	7	229	7	96		鹰翅靴紫装PVP_木系
		2	7	249	7	96		鹰翅靴紫装PVP_水系
		2	7	269	7	96		鹰翅靴紫装PVP_火系
		2	7	289	7	96		鹰翅靴紫装PVP_土系
		2	7	219	7	48		雪莹靴紫装PVP_金系
		2	7	239	7	48		雪莹靴紫装PVP_木系
		2	7	259	7	48		雪莹靴紫装PVP_水系
		2	7	279	7	48		雪莹靴紫装PVP_火系
		2	7	299	7	48		雪莹靴紫装PVP_土系
		2	7	409	7	13		鹰翅靴橙装PVP_金系
		2	7	429	7	13		鹰翅靴橙装PVP_木系
		2	7	449	7	13		鹰翅靴橙装PVP_水系
		2	7	469	7	13		鹰翅靴橙装PVP_火系
		2	7	489	7	13		鹰翅靴橙装PVP_土系
		2	7	419	7	7		雪莹靴橙装PVP_金系
		2	7	439	7	7		雪莹靴橙装PVP_木系
		2	7	459	7	7		雪莹靴橙装PVP_水系
		2	7	479	7	7		雪莹靴橙装PVP_火系
		2	7	499	7	7		雪莹靴橙装PVP_土系
		18	1	80	1	40000		福袋
