Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	900					250000		
		1	1	1	10	3200		10级缠手
		1	1	2	10	3200		10级剑
		1	1	3	10	3200		10级刀
		1	1	4	10	3200		10级棍
		1	1	5	10	3200		10级枪
		1	1	6	10	3200		10级锤
		1	2	2	10	1600		10级飞刀
		1	2	3	10	1600		10级弩箭
		1	3	2	10	10000		10级男甲衣
		1	3	3	10	10000		10级男皮衣
		1	3	4	10	10000		10级男布衣
		1	3	6	10	5000		10级女甲衣
		1	3	7	10	5000		10级女皮衣
		1	3	8	10	5000		10级女布衣
		1	4	1	10	30000		10级戒指
		1	5	1	10	30000		10级项链
		1	7	1	10	30000		10级男鞋
		1	7	2	10	15000		10级女鞋
		1	9	2	10	10000		10级男甲帽
		1	9	3	10	10000		10级男皮帽
		1	9	4	10	10000		10级男布帽
		1	9	6	10	5000		10级女甲帽
		1	9	7	10	5000		10级女皮帽
		1	9	8	10	5000		10级女布帽
		1	10	1	10	30000		10级护腕
		1	10	2	10	15000		10级手镯
		1	11	1	10	20000		10级玉佩
		1	11	2	10	10000		10级香囊
		18	1	114	2	397600		2级玄晶
		18	1	114	3	10000		3级玄晶
		18	1	80	1	40000		福袋
