Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	219	1	14000		初级武林高手令（金）
		18	1	220	2	6000		中级武林高手令（金）
		18	1	221	3	1600		高级武林高手令（金）
		18	1	222	1	14000		初级武林高手令（木）
		18	1	223	2	6000		中级武林高手令（木）
		18	1	224	3	1600		高级武林高手令（木）
		18	1	225	1	14000		初级武林高手令（水）
		18	1	226	2	6000		中级武林高手令（水）
		18	1	227	3	1600		高级武林高手令（水）
		18	1	228	1	119000		初级武林高手令（火）
		18	1	229	2	51000		中级武林高手令（火）
		18	1	230	3	13600		高级武林高手令（火）
		18	1	231	1	14000		初级武林高手令（土）
		18	1	232	2	6000		中级武林高手令（土）
		18	1	233	3	1600		高级武林高手令（土）
1000						200000		金钱1000
10000						30000		金钱10000
		18	1	1	3	149000		3级玄晶
		18	1	1	4	150000		4级玄晶
		18	1	1	5	150000		5级玄晶
		18	1	1	6	40000		6级玄晶
		18	1	1	7	10000		7级玄晶
		18	1	1	8	1000		8级玄晶
