Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	433700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	727	6	600		刀少烈焰刀（6级橙装PvsP）
		2	1	367	6	4000		刀少烈焰刀（6级紫装PvsP）
		2	1	726	5	1200		刀少月牙刀（5级橙装PvsP）
		2	1	366	5	8000		刀少月牙刀（5级紫装PvsP）
		2	1	736	5	1200		棍少分水棍（5级橙装PvsP）
		2	1	376	5	8000		棍少分水棍（5级紫装PvsP）
		2	1	737	6	600		棍少虎尾棍（6级橙装PvsP）
		2	1	377	6	4000		棍少虎尾棍（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	856	5	1200		魔忍龙泉剑（5级橙装PvsP）
		2	1	496	5	8000		魔忍龙泉剑（5级紫装PvsP）
		2	1	857	6	600		魔忍万仞剑（6级橙装PvsP）
		2	1	497	6	4000		魔忍万仞剑（6级紫装PvsP）
		2	1	837	6	600		战忍豹尾枪（6级橙装PvsP）
		2	1	477	6	4000		战忍豹尾枪（6级紫装PvsP）
		2	1	836	5	1200		战忍金钩枪（5级橙装PvsP）
		2	1	476	5	8000		战忍金钩枪（5级紫装PvsP）
