Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	6	159375		6¼¶Ðþ¾§£¨²»°ó¶¨£©
		18	1	1	7	31875		7¼¶Ðþ¾§£¨²»°ó¶¨£©
		18	1	1	8	6375		8¼¶Ðþ¾§£¨²»°ó¶¨£©
		18	1	1	9	1275		9¼¶Ðþ¾§£¨²»°ó¶¨£©
		22	1	113	1	38469		Áú»ê¼øËéÆ¬¡¤½äÖ¸£¨1¼¶£©
		22	1	112	1	67320		Áú»ê¼øËéÆ¬¡¤ÒÂ·þ£¨1¼¶£©
		22	1	114	1	86555		Áú»ê¼øËéÆ¬¡¤»¤Éí·û£¨1¼¶£©
		22	1	113	2	23673		Áú»ê¼øËéÆ¬¡¤½äÖ¸£¨2¼¶£©
		22	1	112	2	41428		Áú»ê¼øËéÆ¬¡¤ÒÂ·þ£¨2¼¶£©
		22	1	114	2	53264		Áú»ê¼øËéÆ¬¡¤»¤Éí·û£¨2¼¶£©
		22	1	113	3	17754		Áú»ê¼øËéÆ¬¡¤½äÖ¸£¨3¼¶£©
		22	1	112	3	31071		Áú»ê¼øËéÆ¬¡¤ÒÂ·þ£¨3¼¶£©
		22	1	114	3	39948		Áú»ê¼øËéÆ¬¡¤»¤Éí·û£¨3¼¶£©
		18	1	1675	1	80000		³àÒ¹·Éôá£¨³àÒ¹ÌìÏè×øÆïËéÆ¬£©
