Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	1200					249000		
		1	1	1	10	4000		10级缠手
		1	1	2	10	4000		10级剑
		1	1	3	10	4000		10级刀
		1	1	4	10	4000		10级棍
		1	1	5	10	4000		10级枪
		1	1	6	10	4000		10级锤
		1	2	2	10	2000		10级飞刀
		1	2	3	10	2000		10级弩箭
		1	3	2	10	12000		10级男甲衣
		1	3	3	10	12000		10级男皮衣
		1	3	4	10	12000		10级男布衣
		1	3	6	10	6000		10级女甲衣
		1	3	7	10	6000		10级女皮衣
		1	3	8	10	6000		10级女布衣
		1	4	1	10	36000		10级戒指
		1	5	1	10	36000		10级项链
		1	7	1	10	36000		10级男鞋
		1	7	2	10	18000		10级女鞋
		1	9	2	10	12000		10级男甲帽
		1	9	3	10	12000		10级男皮帽
		1	9	4	10	12000		10级男布帽
		1	9	6	10	6000		10级女甲帽
		1	9	7	10	6000		10级女皮帽
		1	9	8	10	6000		10级女布帽
		1	10	1	10	36000		10级护腕
		1	10	2	10	18000		10级手镯
		1	11	1	10	24000		10级玉佩
		1	11	2	10	12000		10级香囊
		18	1	114	2	327320		2级玄晶
		18	1	114	3	15000		3级玄晶
		18	1	114	4	5000		4级玄晶
		18	1	114	5	500		5级玄晶
		2	7	212	10	20		绝火靴紫装PVP_金系
		2	7	232	10	20		绝火靴紫装PVP_木系
		2	7	252	10	20		绝火靴紫装PVP_水系
		2	7	272	10	20		绝火靴紫装PVP_火系
		2	7	292	10	20		绝火靴紫装PVP_土系
		2	7	222	10	12		轻云靴紫装PVP_金系
		2	7	242	10	12		轻云靴紫装PVP_木系
		2	7	262	10	12		轻云靴紫装PVP_水系
		2	7	282	10	12		轻云靴紫装PVP_火系
		2	7	302	10	12		轻云靴紫装PVP_土系
		2	7	412	10	2		绝火靴橙装PVP_金系
		2	7	432	10	2		绝火靴橙装PVP_木系
		2	7	452	10	2		绝火靴橙装PVP_水系
		2	7	472	10	2		绝火靴橙装PVP_火系
		2	7	492	10	2		绝火靴橙装PVP_土系
		2	7	422	10	2		轻云靴橙装PVP_金系
		2	7	442	10	2		轻云靴橙装PVP_木系
		2	7	462	10	2		轻云靴橙装PVP_水系
		2	7	482	10	2		轻云靴橙装PVP_火系
		2	7	502	10	2		轻云靴橙装PVP_土系
		18	1	80	1	40000		福袋
		18	1	1053	1	1000		华夏腰带宝箱
