Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		2	9	409	9	500		×Ï×°PVP_¹÷ÉÙ¡¢ÌìÍõÒìÉñ¿ø
		2	9	410	10	240		×Ï×°PVP_¹÷ÉÙ¡¢ÌìÍõÍÌÁú¿ø
		2	9	419	9	250		×Ï×°PVP_¹÷ÉÙ¡¢ÌìÍõÁúÁÛ¿ø
		2	9	420	10	120		×Ï×°PVP_¹÷ÉÙ¡¢ÌìÍõ·ïÃß¿ø
		2	9	429	9	500		×Ï×°PVP_µ¶ÉÙÇàÉ··¢¹Ú
		2	9	430	10	240		×Ï×°PVP_µ¶ÉÙÉ½¹í·¢¹Ú
		2	9	439	9	250		×Ï×°PVP_µ¶ÉÙ³àëàÃæÕÖ
		2	9	440	10	120		×Ï×°PVP_µ¶ÉÙõõÆ¤ÃæÕÖ
		2	9	449	9	500		×Ï×°PVP_µ¶¶¾¡¢ÌÆÃÅ¡¢Ã÷½ÌÇàÉ··¢¹Ú
		2	9	450	10	240		×Ï×°PVP_µ¶¶¾¡¢ÌÆÃÅ¡¢Ã÷½ÌÉ½¹í·¢¹Ú
		2	9	459	9	250		×Ï×°PVP_µ¶¶¾¡¢ÌÆÃÅ¡¢Ã÷½Ì³àëàÃæÕÖ
		2	9	460	10	120		×Ï×°PVP_µ¶¶¾¡¢ÌÆÃÅ¡¢Ã÷½ÌõõÆ¤ÃæÕÖ
		2	9	469	9	500		×Ï×°PVP_ÕÆ¶¾¾øÓñÊø¶î
		2	9	470	10	240		×Ï×°PVP_ÕÆ¶¾×Ï½ðÊø¶î
		2	9	479	9	250		×Ï×°PVP_ÕÆ¶¾ÖìÈ¸·¢½á
		2	9	480	10	120		×Ï×°PVP_ÕÆ¶¾Ú¤µû·¢½á
		2	9	489	9	500		×Ï×°PVP_Ö¸¶ÎÒìÉñ¿ø
		2	9	490	10	240		×Ï×°PVP_Ö¸¶ÎÍÌÁú¿ø
		2	9	499	9	250		×Ï×°PVP_Ö¸¶ÎÁúÁÛ¿ø
		2	9	500	10	120		×Ï×°PVP_Ö¸¶Î·ïÃß¿ø
		2	9	509	9	500		×Ï×°PVP_Æø¶Î¡¢´äÑÌ¡¢¶ëáÒ¾øÓñÊø¶î
		2	9	510	10	240		×Ï×°PVP_Æø¶Î¡¢´äÑÌ¡¢¶ëáÒ×Ï½ðÊø¶î
		2	9	519	9	250		×Ï×°PVP_Æø¶Î¡¢´äÑÌ¡¢¶ëáÒÖìÈ¸·¢½á
		2	9	520	10	120		×Ï×°PVP_Æø¶Î¡¢´äÑÌ¡¢¶ëáÒÚ¤µû·¢½á
		2	9	529	9	500		×Ï×°PVP_Õ½ÈÌÒìÉñ¿ø
		2	9	530	10	240		×Ï×°PVP_Õ½ÈÌÍÌÁú¿ø
		2	9	539	9	250		×Ï×°PVP_Õ½ÈÌÁúÁÛ¿ø
		2	9	540	10	120		×Ï×°PVP_Õ½ÈÌ·ïÃß¿ø
		2	9	549	9	500		×Ï×°PVP_Ä§ÈÌ¡¢Ø¤°ïÇàÉ··¢¹Ú
		2	9	550	10	240		×Ï×°PVP_Ä§ÈÌ¡¢Ø¤°ïÉ½¹í·¢¹Ú
		2	9	559	9	250		×Ï×°PVP_Ä§ÈÌ¡¢Ø¤°ï³àëàÃæÕÖ
		2	9	560	10	120		×Ï×°PVP_Ä§ÈÌ¡¢Ø¤°ïõõÆ¤ÃæÕÖ
		2	9	569	9	500		×Ï×°PVP_½£ÎäÒìÉñ¿ø
		2	9	570	10	240		×Ï×°PVP_½£ÎäÍÌÁú¿ø
		2	9	579	9	250		×Ï×°PVP_½£ÎäÁúÁÛ¿ø
		2	9	580	10	120		×Ï×°PVP_½£Îä·ïÃß¿ø
		2	9	589	9	500		×Ï×°PVP_ÆøÎä¡¢À¥ÂØ¾øÓñÊø¶î
		2	9	590	10	240		×Ï×°PVP_ÆøÎä¡¢À¥ÂØ×Ï½ðÊø¶î
		2	9	599	9	250		×Ï×°PVP_ÆøÎä¡¢À¥ÂØÖìÈ¸·¢½á
		2	9	600	10	120		×Ï×°PVP_ÆøÎä¡¢À¥ÂØÚ¤µû·¢½á
