Index	Type	AwardItem	RandomSpeedTotal	RandomSpeed	AwardType	TaskType	AwardTypeEx	AwardTypeEx2	AwardTotal	AwardMax	AwardMin	AwardRandomMax	AwardRandomMin	SpeakTotal	SpeakNum	SkillTotal	SkillNum	RandomSkillId	RandomSkillLevel	SkillType	ItemChat	AwardChat	FollowChat1	FollowChat2	FollowChat3	FollowChat4	FollowChat5	FollowChat6	FollowChat7	FollowChat8	FollowChat9	FollowChat10	ItemTip
Hướng dẫn (điền bảng vật phẩm scriptitem, tham số mở rộng thứ 1 thể hiện npctempID, số thứ 2 thể hiện hướng dẫn này, số thứ 3 thể hiện màu, số thứ 4 thể hiện id kỹ năng, số thứ 5 thể hiện cấp kỹ năng. Danh sách kỹ năng ở đây sẽ tăng thêm kỹ năng buff cho người chơi khi triệu hồi.	Loại hình thú cưng (0: không có phần thưởng, 1: Bạc khóa, 2: Kinh nghiệm chuẩn (Đơn vị: phút), 3: Kinh nghiệm, 4: Đồng khóa, 5: Đạo cụ (Cần điền nội dung phần thưởng cụ thể))	Phần thưởng vật phẩm (G, D, P, L, nCount, thời gian có hiệu lực (phút, mặc định là thời gian tuyệt đối, không có thì không điền tham số thứ 6), phần thưởng mặc định khóa, không có vật phẩm không khóa)	随即走动总权重	随即走动触发权重	Loại phần thưởng: Tiêu diệt quái (killnpc), Tiêu diệt người chơi (killplayer)	Loại hoạt động (Loại dùng | cách ra, hỗ trợ tất cả các hệ thống hỗ trợ, ví dụ: GuessGame|FactionBattle, thể hiện nhận thưởng Hoa đăng và nhận thưởng Thi đấu môn phái, cụ thể xem: \script\event\extendaward\extendaward.lua)	Loại phần thưởng tăng thêm: random ngẫu nhiên, theo chỉ định (addnum)	Phần thưởng xúc tác: random ngẫu nhiên (Không điền tức thông qua, cộng trực tiếp)	Tổng thưởng	Phần thưởng tối đa (Nếu trực tiếp cộng tối đa)	Phần thưởng ít nhất	奖励随即总权重	奖励随即触发权重	随即说话总权重（响应时间2秒一次）	随即说话触发权重	随即技能总权重（响应时间2秒一次）	随即技能触发权重	id kỹ năng ngẫu nhiên	Cấp kỹ năng ngẫu nhiên	Loại kỹ năng ngẫu nhiên (Bản thân thú cưng self, chủ nhân owner, thể hiện đối tượng thi triển)	Thông tin vật phẩm (Chú ý %s cần giữ lại, tại đây cần thêm giá trị cụ thể phần thưởng nhận được)	Phần thưởng đối thoại (Chú ý %s cần giữ lại, tại đây cần thêm giá trị cụ thể phần thưởng nhận được)	Thú cưng đối thoại 1	Thú cưng đối thoại 2	Thú cưng đối thoại 3	Thú cưng đối thoại 4	Thú cưng đối thoại 5	Thú cưng đối thoại 6	Thú cưng đối thoại 7	Thú cưng đối thoại 8	Thú cưng đối thoại 9	Thú cưng đối thoại 10	Tips miêu tả đạo cụ
1	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						Chào chủ nhân, tôi là <color=green>Tài Bảo Thố<color> của ngài, chỉ cần ngài dẫn theo tôi khi <color=yellow>đánh quái<color>, tôi sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s Bạc khóa<color>.<enter><enter>Đã tích lũy được <color=yellow>%s Bạc khóa<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Thỏ thu được [%s Bạc khóa], thật đáng yêu!	Chủ nhân thật lợi hại!	Ước nguyện duy nhất là được cùng ngài luyện võ.	Chủ nhân hãy cẩn thận phía sau!	Chủ nhân hãy hẹn ý trung nhân cùng đi ngắm cảnh nào!							Bạc khóa mà Tài Bảo Thố tích lũy được: %s / %s
2	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Chỉ cần ngài dẫn theo tôi khi <color=yellow>đánh quái<color>, tôi sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s kinh nghiệm<color>.<enter><enter>Đã tích lũy được <color=yellow>%s kinh nghiệm<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Hồ Tiểu Lô cộng thêm [%s Kinh nghiệm]	Ding dong, ding dong, la la la…	Hồ Tiểu Lô thần thông quảng đại!	Chủ nhân đánh không lại thì mau chạy thôi!	Yêu quái, ngươi chạy đi đâu!	Cứ đi theo chủ nhân ta là tốt nhất						Kinh nghiệm Hồ Tiểu Lô tích lũy được: %s / %s
3	5	18,1,597,1,19	100	50	killnpc		addnum	random	19	1	0	10000	400	1000	10						Chào chủ nhân, ta là <color=green>Tinh Linh Hoa Hồng<color> của ngài, chỉ cần ngài dẫn theo ta khi <color=yellow>đánh quái<color>, ta sẽ giúp ngài <color=yellow>nhận được %s Hoa Tình-Khóa mỗi ngày<color>.<enter><enter>Đã tích lũy được <color=yellow>%s Hoa Tình-Khóa<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày được nhận 1 lần)<color>	Tinh Linh Hoa Hồng thu thập được [%s Hoa Tình]	Chủ nhân, ta đã giúp ngài hái được 1 Hoa Hồng nữa	Tặng hoa hồng cho người mình yêu mến, nhất định người ấy sẽ rất vui.	Dẫn theo muội muội, cầm theo hoa hồng, cưỡi ngựa đến bên nàng	Chủ nhân, đợi ta thu thập đủ hoa hồng là ngài có thể cầu hôn người ngài yêu mến rồi.	Nếu nhớ thương một ai đó, hãy can đảm bày tỏ	Lại đang nhớ cô nương nào phải không?	Hỏi thế gian tình là gì, khiến người ta sống chết không rời...				Số lượng Hoa Tình Tinh Linh Hoa Hồng tích lũy: %s / %s
4	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						<color=yellow>Khi đánh quái<color> hãy dẫn theo ta, mỗi ngày ta sẽ giúp chủ nhân nhận thêm <color=yellow>%s kinh nghiệm<color>. Đường giang hồ vạn dặm, quyết sát cánh bên người.<enter><enter>Đã tích lũy được <color=yellow>%s kinh nghiệm<color><enter><color=red>(Chỉ khi tích lũy đến điểm tối đa mới được nhận thưởng, mỗi ngày giới hạn 1 lần)<color>	Đi theo tăng thêm [%s kinh nghiệm]	Chủ nhân đừng sợ, nếu có chuyện gì, ta nhất định bảo vệ người.	Có thể đồng hành cùng người, thật may mắn!	Đường giang hồ vạn dặm, quyết sát cánh bên người.								Kinh nghiệm thú cưng tích lũy: %s / %s
5	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Chỉ cần ngài dẫn theo tôi khi <color=yellow>đánh quái<color>, tôi sẽ giúp ngài <color=yellow>mỗi ngày nhận được %s kinh nghiệm<color>.<enter><enter>Đã tích lũy được <color=yellow>%s kinh nghiệm<color><enter><color=red>(Chỉ khi tích lũy đạt tối đa mới được nhận thưởng, mỗi ngày chỉ được nhận 1 lần)<color>	Tiểu Manh giúp ngươi tăng thêm [%s kinh nghiệm]	Chủ nhân người thích ta không? Ta luôn theo sát người.	Hu hu, lại bị Nhị Manh bắt nạt rồi, chủ nhân phải xử lý việc này?	Phía trước có kẻ xấu! Chủ nhân để ta đi trước!	Ta có rất nhiều huynh muội, đại tỷ là Đại Manh, nhị ca là Nhị Manh	Chủ nhân, chúng ta nghỉ ngơi chút đi! Ta mệt rồi!						Kinh nghiệm Tiểu Manh tích lũy: %s / %s
6	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng thêm <color=yellow>%s kinh nghiệm<color> mỗi ngày.<enter><enter>Đã tích lũy <color=yellow>%s kinh nghiệm<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày nhận 1 lần)<color>	Người này đã giúp ngươi tăng thêm [%s kinh nghiệm]	Đẹp trai như ta sẽ luôn được đóng vai chính đó!	Đừng sợ, ta đến đây!	Đứng sau lưng ta, ta sẽ bảo vệ ngươi!	...							Kinh nghiệm người này đã tích lũy: %s / %s
7	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng thêm <color=yellow>%s kinh nghiệm<color> mỗi ngày.<enter><enter>Đã tích lũy <color=yellow>%s kinh nghiệm<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày nhận 1 lần)<color>	Người này đã giúp ngươi tăng thêm [%s kinh nghiệm]	Đời người rất ngắn, chớp mắt đã trôi qua!	Đi đường của người khác để họ không còn đường  để đi	Ngươi nói ta là nam hay nữ? Câu hỏi này cũng khiến ta rất mâu thuẫn	Ôi, sao ngươi lợi hại quá vậy	Ai là cô nương hả? Ta là đấng nam nhi đó!						Kinh nghiệm người này đã tích lũy: %s / %s
8	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng thêm <color=yellow>%s kinh nghiệm<color> mỗi ngày.<enter><enter>Đã tích lũy <color=yellow>%s kinh nghiệm<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày nhận 1 lần)<color>	Mỹ nữ giúp ngươi tăng thêm [%s kinh nghiệm]	Cuộc đời không luôn như ý, e là hận nhiều thì yêu càng nhiều.	Dạ ánh tây châu, nguyệt túc chi đầu, ngươi biết ban đêm ở đâu đẹp nhất không?	Mệt rồi à? Chúng ta ngồi nghỉ chút đi	Nếu có thể luôn đồng hành cùng ngươi thì thật tốt…	Thích một người, có khi chỉ là chuyện trong nháy mắt						Kinh nghiệm mỹ nữ đã tích lũy: %s / %s
9	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						Khi <color=yellow>đánh quái<color> chỉ cần dẫn ta theo, ta sẽ giúp tăng thêm <color=yellow>%s kinh nghiệm<color> mỗi ngày.<enter><enter>Đã tích lũy <color=yellow>%s kinh nghiệm<color><enter><color=red>(Phải tích lũy đến điểm tối đa mới nhận được thưởng, mỗi ngày nhận 1 lần)<color>	Mỹ nữ giúp ngươi tăng thêm [%s kinh nghiệm]	Thời tiết sao mà nóng quá, làm phấn son trên mặt ta nhòa hết rồi!	Nhìn gì mà nhìn, chưa thấy qua người đẹp sao?	Tục ngữ có câu chỉ có phụ nữ lười không có phụ nữ xấu, ta cũng nghĩ vậy đó.	Mã đại ca thôn bên cạnh lại muốn đến kết thông gia, thật phiền phức!	Vị tiểu ca này thật tuấn tú!						Kinh nghiệm mỹ nữ đã tích lũy: %s / %s
