Name	DataID	Kind	ClassName	ImageName	SoundName	LifeTime	Height	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval(Ö¡¼ä¸ô£©	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind	LoopAnimation
Ðþ¾§1	1	Item		\image\item\obj\other\f_xuanjing_suipian.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_suipian.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§2	2	Item		\image\item\obj\other\f_xuanjing_canpian.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_canpian.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§3	3	Item		\image\item\obj\other\f_xuanjing_weidiaozhuo.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_weidiaozhuo.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§4	4	Item		\image\item\obj\other\f_xuanjing_youliehen.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_youliehen.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§5	5	Item		\image\item\obj\other\f_xuanjing_putong.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_putong.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§6	6	Item		\image\item\obj\other\f_xuanjing_youxiaci.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_youxiaci.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§7	7	Item		\image\item\obj\other\f_xuanjing_wuxia.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_wuxia.spr	10	0	1	0	18	70	110	0	0	0
Ðþ¾§8	8	Item		\image\item\obj\other\f_xuanjing_wanmei.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_wanmei.spr	10	0	1	0	18	70	110	0	0	0
½£	9	Item		\image\item\obj\equip\f_jian.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\jian.spr	10	0	1	0	18	70	110	0	0	0
µ¶	10	Item		\image\item\obj\equip\f_dao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\dao.spr	10	0	1	0	18	70	110	0	0	0
¹÷°ô	11	Item		\image\item\obj\equip\f_gun.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\gun.spr	10	0	1	0	18	70	110	0	0	0
Ç¹	12	Item		\image\item\obj\equip\f_qiang.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\qiang.spr	10	0	1	0	18	70	110	0	0	0
²øÊÖ	13	Item		\image\item\obj\equip\f_chanshou.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\chanshou.spr	10	0	1	0	18	70	110	0	0	0
´¸×Ó	14	Item		\image\item\obj\equip\f_chuizi.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\chuizi.spr	10	0	1	0	18	70	110	0	0	0
·ÉïÚ	15	Item		\image\item\obj\equip\f_feibiao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\feibiao.spr	10	0	1	0	18	70	110	0	0	0
·Éµ¶	16	Item		\image\item\obj\equip\f_feidao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\feidao.spr	10	0	1	0	18	70	110	0	0	0
Ðä¼ý	17	Item		\image\item\obj\equip\f_xiujian.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiujian.spr	10	0	1	0	18	70	110	0	0	0
ÄÐÃ±×Ó	18	Item		\image\item\obj\equip\f_nanmaozi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nanmaozi.spr	10	0	1	0	18	70	110	0	0	0
Å®Ã±×Ó	19	Item		\image\item\obj\equip\f_nvmaozi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nvmaozi.spr	10	0	1	0	18	70	110	0	0	0
ÄÐÒÂ·þ	20	Item		\image\item\obj\equip\f_nanyifu.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nanyifu.spr	10	0	1	0	18	70	110	0	0	0
