G	D	P	L	UnBindValue	BindValue	Name
18	1	1	1	80	80	1玄
18	1	1	2	288	288	2玄
18	1	1	3	1037	1037	3玄
18	1	1	4	3733	3733	4玄
18	1	1	5	13438	13438	5玄
18	1	1	6	48378	48378	6玄
18	1	1	7	174162	174162	7玄
18	1	1	8	626985	626985	8玄
18	1	1	9	2257146	2257146	9玄
18	1	1	10	8125725	8125725	10玄
18	1	1	11	29252610	29252610	11玄
18	1	1	12	105309395	105309395	12玄
18	1	114	1	80	80	1玄
18	1	114	2	288	288	2玄
18	1	114	3	1037	1037	3玄
18	1	114	4	3733	3733	4玄
18	1	114	5	13438	13438	5玄
18	1	114	6	48378	48378	6玄
18	1	114	7	174162	174162	7玄
18	1	114	8	626985	626985	8玄
18	1	114	9	2257146	2257146	9玄
18	1	114	10	8125725	8125725	10玄
18	1	114	11	29252610	29252610	11玄
18	1	114	12	105309395	105309395	12玄
18	1	205	1	800	800	五行魂石
18	1	118	2	1500000	1500000	金条(大)
18	1	118	1	150000	150000	金条
18	1	200	1	10000	10000	血影枪
18	1	201	1	10000	10000	灵兽战靴
18	1	202	1	10000	10000	遁甲灵符
18	1	203	1	10000	10000	紫晶幻佩
18	1	204	1	10000	10000	七彩仙丹
18	1	263	1	12000	12000	百步穿杨弓
18	1	264	1	12000	12000	刑天战袍
18	1	265	1	12000	12000	行军符咒
18	1	266	1	12000	12000	游子护身符
18	1	267	1	12000	12000	千里止渴丹
18	1	360	1	20000	20000	秦陵·长明灯
18	1	363	1	20000	20000	秦陵·搬山印
18	1	366	1	20000	20000	秦陵·摸金符
18	1	377	1	1000000	1000000	秦陵·和氏璧
18	1	357	1	12000	12000	秦陵·夜明珠
18	1	565	1	10000	10000	白银精华液
18	1	565	2	100000	100000	黄金精华液
18	1	565	3	1000000	1000000	白金精华液
18	1	565	4	10000000	10000000	钻石精华液
18	1	1453	1	100000	100000	蓝田美玉
24	2	1	2	80000	80000	血蓝值原石（2级）
24	2	1	3	80000	80000	血蓝值原石（3级）
24	2	1	4	80000	80000	血蓝值原石（4级）
24	2	1	5	80000	80000	血蓝值原石（5级）
24	2	2	2	80000	80000	血蓝比原石（2级）
24	2	2	3	80000	80000	血蓝比原石（3级）
