SkillId	SkillDesc	SkillName
1491	加血内上限	益寿阴阳
1492	加血内上限和减少受伤时间	益寿阴阳·绝
1493	加血内上限和减少虚弱时间	益寿阴阳·极
1494	加血内上限和减少迟缓时间	益寿阴阳·震
1495	加血内上限和减少灼伤时间	益寿阴阳·寒
1496	加血内上限和减少眩晕时间	益寿阴阳·冥
1497	加血内上限，减少受伤时间和经验加成	如沐春风·绝
1498	加血内上限，减少虚弱时间和经验加成	如沐春风·极
1499	加血内上限，减少迟缓时间和经验加成	如沐春风·震
1500	加血内上限，减少灼伤时间和经验加成	如沐春风·寒
1501	加血内上限，减少眩晕时间和经验加成	如沐春风·冥
1502	加全抗	五行无相
1503	加全抗和普抗	五行无相·伏石
1504	加全抗和毒抗	五行无相·朱蟾
1505	加全抗和冰抗	五行无相·逆水
1506	加全抗和火抗	五行无相·越光
1507	加全抗和雷抗	五行无相·巨木
1508	加忽闪	追影诀
1509	加忽闪命中	无念经
1510	加会心几率	会神静心
1511	加会心几率和会心攻击	惊鸿一击
1512	加闪避	踏步迷踪
1513	加闪避和降低受到的会心伤害	虚空闪影
1973	加闪避，降低受到的会心伤害，降低被极效攻击击中的几率	虚空闪影·幻
1514	加生命回复	妙手回春
1515	加生命和内力回复	慈悲细雨
1516	加攻击	破空斩影
1517	加攻击和造成受伤时间	破空斩影·白虎
1518	加攻击和造成虚弱时间	破空斩影·青龙
1519	加攻击和造成迟缓时间	破空斩影·玄武
1520	加攻击和造成灼伤时间	破空斩影·朱雀
1521	加攻击和造成眩晕时间	破空斩影·黄龙
1522	加生命和内力回复效率	甘雨霖华
2213	加全抗和普抗和经验加成	五行无相·绝
2214	加全抗和毒抗和经验加成	五行无相·极
2215	加全抗和冰抗和经验加成	五行无相·震
2216	加全抗和火抗和经验加成	五行无相·寒
2217	加全抗和雷抗和经验加成	五行无相·冥
