ZONE	TRAPX	TRAPY
1	1368	3427
1	1400	3461
1	1420	3416
1	1410	3396
1	1420	3481
2	1439	3363
2	1432	3458
2	1443	3396
2	1454	3519
2	1458	3335
3	1464	3436
3	1461	3462
3	1480	3321
3	1485	3408
3	1479	3452
4	1474	3539
4	1501	3296
4	1502	3391
4	1498	3538
4	1514	3288
5	1507	3324
5	1517	3378
5	1511	3490
5	1510	3573
5	1521	3506
6	1551	3264
6	1537	3306
6	1557	3364
6	1559	3398
6	1554	3480
7	1553	3543
7	1570	3331
7	1583	3453
7	1582	3429
7	1581	3557
8	1594	3330
8	1590	3397
8	1599	3485
8	1590	3531
8	1609	3530
9	1623	3459
9	1635	3348
9	1634	3401
9	1645	3411
9	1661	3377
10	1657	3445
10	1649	3484
10	1673	3410
10	1675	3463
10	1713	3427
