szName	nGenre	nDetailType	nParticular	nLevel	nBuyPrice	bCanBind
秘境地图	18	1	251	1	200	
五行魂石	18	1	205	1	2	
金创药（小）	17	1	1	1	0.004	
凝神丹（小）	17	2	1	1	0.004	
承仙蜜（小）	17	3	1	1	0.004	
金创药（中）	17	1	1	2	0.0425	
凝神丹（中）	17	2	1	2	0.0425	
承仙蜜（中）	17	3	1	2	0.0425	
金创药（大）	17	1	1	3	0.128	
凝神丹（大）	17	2	1	3	0.128	
承仙蜜（大）	17	3	1	3	0.128	
回天丹	17	1	1	4	0.256	
大补散	17	2	1	4	0.256	
七巧补心丹	17	3	1	4	0.256	
九转还魂丹	17	1	1	5	0.4265	
首乌还神丹	17	2	1	5	0.4265	
灵芝续命丸	17	1	1	6	1.28	
雪参返气丸	17	2	1	6	1.28	
瑶池大还丹	17	3	1	6	1.28	
传送符(新手村)	18	1	3	1	1.2	
传送符(门派)	18	1	4	1	1.6	
传送符(城市)	18	1	19	1	1.6	
磨刀石(1级)	18	1	66	1	0.04	
磨刀石(2级)	18	1	66	2	0.12	
磨刀石(3级)	18	1	66	3	0.32	
磨刀石(4级)	18	1	66	4	1.12	
磨刀石(5级)	18	1	66	5	3.04	
磨刀石(6级)	18	1	66	6	10.08	
磨刀石(7级)	18	1	66	7	29.28	
磨刀石(8级)	18	1	66	8	86.4	
磨刀石(9级)	18	1	66	9	256	
磨刀石(10级)	18	1	66	10	800	
护甲片(1级)	18	1	67	1	0.04	
护甲片(2级)	18	1	67	2	0.12	
护甲片(3级)	18	1	67	3	0.32	
护甲片(4级)	18	1	67	4	1.12	
护甲片(5级)	18	1	67	5	3.04	
护甲片(6级)	18	1	67	6	10.08	
护甲片(7级)	18	1	67	7	29.28	
护甲片(8级)	18	1	67	8	86.4	
护甲片(9级)	18	1	67	9	256	
护甲片(10级)	18	1	67	10	800	
五行石(1级)	18	1	68	1	0.04	
五行石(2级)	18	1	68	2	0.12	
五行石(3级)	18	1	68	3	0.32	
五行石(4级)	18	1	68	4	1.12	
五行石(5级)	18	1	68	5	3.04	
五行石(6级)	18	1	68	6	10.08	
五行石(7级)	18	1	68	7	29.28	
五行石(8级)	18	1	68	8	86.4	
五行石(9级)	18	1	68	9	256	
五行石(10级)	18	1	68	10	800	
金贝壳	18	1	325	1	25	
修炼丹	18	1	258	1	900	
青团	18	1	308	1	24	
龙舟原型	18	1	329	1	120	
义军补给包	18	1	341	1	16	
霸主之印	18	1	379	1	48	
秦陵·夜明珠	18	1	357	1	24	
秦陵·长明灯	18	1	360	1	48	
秦陵·搬山印	18	1	363	1	48	
秦陵·摸金符	18	1	366	1	48	
秦陵·和氏璧	18	1	377	1	2400	
花与酒	18	1	359	1	48	
诗与剑	18	1	361	1	48	
玉笛谁家听落梅（周）	19	3	1	6	200	
玉笛谁家听落梅（月）	19	3	1	7	800	
中秋月饼	18	1	197	1	40	
血影枪	18	1	200	1	25.6	
灵兽战靴	18	1	201	1	25.6	
遁甲灵符	18	1	202	1	25.6	
紫晶幻佩	18	1	203	1	25.6	
七彩仙丹	18	1	204	1	25.6	
雪花	18	1	213	1	6.4	
百步穿杨弓	18	1	263	1	25.6	
刑天战袍	18	1	264	1	25.6	
行军符咒	18	1	265	1	25.6	
游子护身符	18	1	266	1	25.6	
千里止渴丹	18	1	267	1	25.6	
战书·游龙密室	18	1	524	1	107	
暖暖的手套	18	1	477	1	107	1
暖暖的手套·御雪	18	1	478	1	535	1
龙舟：破浪	18	1	327	1	107	1
龙舟：乘风	18	1	327	2	107	1
龙舟：离水	18	1	327	3	107	1
龙舟：霸舟	18	1	327	4	535	1
镶边帛帖（1级）	18	1	541	5	107	1
穿珠银帖（2级）	18	1	541	2	535	1
普通的精魄（1级）	18	1	544	5	107	1
特别的精魄（2级）	18	1	544	2	1070	1
奇妙的精魄（3级）	18	1	544	3	10700	1
神奇的精魄（4级）	18	1	544	4	107000	1
菩提果	18	1	564	1	5350	1
同伴推荐信	18	1	566	1	107	1
情花	18	1	597	1	50	
寒武魂珠	18	1	510	1	107	
小葫芦	18	1	1728	1	9	
