POSX	POSY
52704	105664
52608	105792
52480	105920
52384	106048
52288	106176
52416	106336
52544	106464
52512	106208
52640	106336
52608	106080
52704	105952
52672	106592
52864	105440
52800	105568
52768	106464
52832	105824
52960	105728
53056	105600
53184	105728
53088	105824
53216	105952
53184	106304
53088	106432
52800	106720
52928	106880
52896	106592
53056	106752
53152	106656
52992	106496
53312	105888
53440	106016
53568	106144
53344	106464
53440	106368
53344	106112
53504	106272
53280	106208
53248	106560
