PRAY_1	PRAY_2	PRAY_3	PRAY_4	PRAY_5	AWARD_TYPE_1	AWARD_VALUE_1	AWARD_TYPE_2	AWARD_VALUE_2	AWARD_TYPE_3	AWARD_VALUE_3	AWARD_TYPE_4	AWARD_VALUE_4	AWARD_TYPE_5	AWARD_VALUE_5	AWARD_TYPE_6	AWARD_VALUE_6	AWARD_TYPE_7	AWARD_VALUE_7	AWARD_TYPE_8	AWARD_VALUE_8	AWARD_TYPE_9	AWARD_VALUE_9	AWARD_TYPE_10	AWARD_VALUE_10	PRAYWORDS	PRAYTHING
1	2	0	0	0	item	18,1,80,1	effect	878,6,1,64800,1,0,1	effect	880,1,1,64800,1,0,1									repute	5,4,1					<color=blue>金能克木，木坚金缺！今日行事虽有利，弊亦不可忽视。<color>	<color=blue>深思；鲁莽冒行，唯苦果以尝。<color>
1	3	0	0	0	item	18,1,80,1	effect	878,6,1,64800,1,0,1	effect	876,5,1,64800,1,0,1									repute	5,4,1					<color=blue>金能生水，水多金沉！以武谋利，滥而伤己。<color>	<color=blue>息武止戈；阁下今日不宜争斗，息武修养为是。<color>
1	4	0	0	0	item	18,1,80,1	effect	878,6,1,64800,1,0,1	effect	879,1,1,64800,1,0,1									repute	5,4,1					<color=blue>金衰遇火，必见销熔！强敌在前，谨行。<color>	<color=blue>按兵不动；静观敌变，相机而动，冒进必败。<color>
1	5	0	0	0	item	18,1,80,1	effect	878,6,1,64800,1,0,1	effect	877,5,1,64800,1,0,1									repute	5,4,1					<color=blue>金赖土生，土多金埋！陈规陋习，埋才之物。<color>	<color=blue>潜龙勿用；天行健，君子以自强不息。<color>
2	1	0	0	0	item	18,1,80,1	effect	880,2,1,64800,1,0,1	effect	878,5,1,64800,1,0,1									repute	5,4,1					<color=blue>木弱逢金，必为斫折！今日行事有弊无利。<color>	<color=blue>高枕而卧；今日不宜行事，卧床无忧。<color>
2	3	0	0	0	item	18,1,80,1	effect	880,2,1,64800,1,0,1	effect	876,5,1,64800,1,0,1									repute	5,4,1					<color=blue>木赖水生，水多木漂！运数犹在，后患勿忘。<color>	<color=blue>远虑；君子若无远虑，必有近忧，今日运气尚存，然近忧将至。<color>
2	4	0	0	0	item	18,1,80,1	effect	880,2,1,64800,1,0,1	effect	879,1,1,64800,1,0,1									repute	5,4,1					<color=blue>木能生火，火多木焚！时运济，然命途舛。<color>	<color=blue>静候佳音；若耐心以待，必有后福。<color>
2	5	0	0	0	item	18,1,80,1	effect	880,2,1,64800,1,0,1	effect	877,5,1,64800,1,0,1									repute	5,4,1					<color=blue>木能克土，土多木折！时运至，无福消。<color>	<color=blue>勿占小利；蝇头之利，君子为弃。<color>
3	1	0	0	0	item	18,1,80,1	effect	876,6,1,64800,1,0,1	effect	878,5,1,64800,1,0,1									repute	5,4,1					<color=blue>水赖金生，金多水浊！水性包容，然有度。<color>	<color=blue>理性行事；包容无度，累己伤人<color>
3	2	0	0	0	item	18,1,80,1	effect	876,6,1,64800,1,0,1	effect	880,1,1,64800,1,0,1									repute	5,4,1					<color=blue>水能生木，木多水缩！付出一事，本末忌倒置。<color>	<color=blue>平常心；付出必有回报，然倒其本末，事与愿违矣。<color>
