TaskId	TaskName	TaskType	Value1	Value2	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
Số nhiệm vụ	Tên nhiệm vụ	Loại nhiệm vụ	Giá trị 1	Giá trị 2	Ngũ hành	Số lượng	Tên vật phẩm	Tên hậu tố	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Cấp 6	Cấp 7	Cấp 8	Cấp 9	Cấp 10	Cấp 11
30001	Thu thập 1 Khinh Giáp - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Khinh Giáp	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30002	Thu thập 1 Đồng Nữ Giáp - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Đồng Nữ Giáp	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30003	Thu thập 1 Khinh Bì Trang - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Khinh Bì Trang	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30004	Thu thập 1 Khinh Bì Giáp Y - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Khinh Bì Giáp Y	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30005	Thu thập 1 Thô Bố Trường Bào - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Thô Bố Trường Bào	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30006	Thu thập 1 Cẩm Sam - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Cẩm Sam	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30007	Thu thập 1 Tỏa Tử Giáp - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Tỏa Tử Giáp	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30008	Thu thập 1 Bạch Nhung Giáp - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Bạch Nhung Giáp	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30009	Thu thập 1 Thích Khách Trang - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Thích Khách Trang	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30010	Thu thập 1 Linh Vận Trang - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Linh Vận Trang	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30011	Thu thập 1 Dật Hiệp Bào - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Dật Hiệp Bào	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30012	Thu thập 1 Khởi Lệ Sam - Hoàng Quang	SearchItemBySuffix	240	750	0	1	Khởi Lệ Sam	Hoàng Quang	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30013	Thu thập 1 Lưỡng Đang Khải - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Lưỡng Đang Khải	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30014	Thu thập 1 Võ Luyện Giáp - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Võ Luyện Giáp	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30015	Thu thập 1 Ngư Nhẫn Trang - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Ngư Nhẫn Trang	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30016	Thu thập 1 Tử Kình Trang - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Tử Kình Trang	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30017	Thu thập 1 Thanh Sương Bào - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Thanh Sương Bào	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30018	Thu thập 1 Tâm Ấn Sam - Hoàng Quang	SearchItemBySuffix	540	750	0	1	Tâm Ấn Sam	Hoàng Quang	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30019	Thu thập 1 Thanh Đồng Thúc Phát - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Thanh Đồng Thúc Phát	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30020	Thu thập 1 Khinh Sa Ngọc Đái - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Khinh Sa Ngọc Đái	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30021	Thu thập 1 Nhược Thủy Lạp - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Nhược Thủy Lạp	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30022	Thu thập 1 Hoàng Bố Phát Đái - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Hoàng Bố Phát Đái	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30023	Thu thập 1 Nho Cân - Hoàng Quang	SearchItemBySuffix	70	750	0	1	Nho Cân	Hoàng Quang	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
