TaskId	TaskName	StepDesc	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	AwardMoney	NeedTime
任务编号	任务名	寻路描述	任务类型	难度	大类	分类	细类	等级	五行	数量	物品名	后缀名	步骤1-9	步骤10	步骤100	达到60级	获得经验	获得金钱（不绑定）	需要时间(秒)
1	收集2个1级磨刀石	可使用<color=yellow>武器锻造<color>技能制作	GiveItem	1	18	1	66	1		2	磨刀石（1级）		1500	0	0	0	0.6	50	30
2	收集2个1级护甲片	可使用<color=yellow>防具制造<color>技能制作	GiveItem	1	18	1	67	1		2	护甲片（1级）		1500	0	0	0	0.6	50	30
3	收集2个1级五行石	可使用<color=yellow>首饰制造<color>技能制作	GiveItem	1	18	1	68	1		2	五行石（1级）		1500	0	0	0	0.6	50	30
4	收集1箱金创药（小）·箱	可使用<color=yellow>药剂合成<color>技能制作	GiveItem	1	18	1	28	1		1	金创药（小）·箱		500	0	0	0	0.6	200	30
5	收集1箱凝神丹（小）·箱	可使用<color=yellow>药剂合成<color>技能制作	GiveItem	1	18	1	29	1		1	凝神丹（小）·箱		500	0	0	0	0.6	200	30
6	收集1件轻甲·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	轻甲	煌光	200	0	0	0	0.6	100	120
7	收集1件铜女甲·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	铜女甲	煌光	200	0	0	0	0.6	100	120
8	收集1件轻皮装·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	轻皮装	煌光	200	0	0	0	0.6	100	120
9	收集1件轻皮甲衣·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	轻皮甲衣	煌光	200	0	0	0	0.6	100	120
10	收集1件粗布长袍·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	粗布长袍	煌光	200	0	0	0	0.6	100	120
11	收集1件锦衫·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	锦衫	煌光	200	0	0	0	0.6	100	120
12	收集1个青铜束发·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	青铜束发	煌光	200	0	0	0	0.6	100	120
13	收集1个轻纱玉带·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	轻纱玉带	煌光	200	0	0	0	0.6	100	120
14	收集1个弱水笠·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	弱水笠	煌光	200	0	0	0	0.6	100	120
15	收集1个黄布发带·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	黄布发带	煌光	200	0	0	0	0.6	100	120
16	收集1个儒巾·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	儒巾	煌光	200	0	0	0	0.6	100	120
17	收集1个发钗·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	发钗	煌光	200	0	0	0	0.6	100	120
18	收集1条粗麻腰带·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	粗麻腰带	煌光	200	0	0	0	0.6	100	120
19	收集1条青布腰带·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	青布腰带	煌光	200	0	0	0	0.6	100	120
20	收集1个铜护腕·煌光	可使用<color=yellow>防具制造<color>技能制作	GiveItemWithName	1						1	铜护腕	煌光	200	0	0	0	0.6	100	120
