TaskId	TaskName	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10
任务ID	任务名称	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10
125	犯戒僧人	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
126	犯戒头陀	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
127	红巾人	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
128	蓝面人	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
129	江湖刀客	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12a	江湖剑客	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12b	弄蛇人	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12c	带刀武士	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12d	恶猿	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12e	猿人	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
12f	驻守枪兵	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
130	驻守弓兵	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
