LEVEL	EXP_EMPTY	EXP_FULL
1	0	12480
2	0	15470
3	0	18720
4	0	22230
5	0	26000
6	0	30030
7	0	34320
8	0	38870
9	0	43680
10	0	48750
11	0	54080
12	0	59670
13	0	65520
14	0	71630
15	0	78000
16	0	84630
17	0	91520
18	0	98670
19	0	106080
20	0	113750
21	0	121680
22	0	129870
23	0	138320
24	0	147030
25	0	156000
26	0	165230
27	0	174720
28	0	184470
29	0	194480
30	0	204750
31	0	215280
32	0	226070
33	0	237120
34	0	248430
35	0	260000
36	0	271830
37	0	283920
38	0	296270
39	0	308880
40	0	321750
41	0	334880
42	0	348270
43	0	361920
44	0	375830
45	0	390000
46	0	404430
47	0	419120
48	0	434070
49	0	449280
50	2000000	464750
51	2000000	480480
52	2000000	496470
53	2000000	512720
54	2000000	529230
55	2000000	546000
56	2000000	563030
57	2000000	580320
58	2000000	597870
59	2000000	615680
60	2000000	633750
61	2000000	652080
62	2000000	670670
63	2000000	689520
64	2000000	708630
65	2000000	728000
66	2000000	747630
67	2000000	767520
68	2000000	787670
69	2000000	808080
70	2000000	828750
71	2000000	849680
72	2000000	870870
73	2000000	892320
74	2000000	914030
75	2000000	936000
76	2000000	958230
77	2000000	980720
78	2000000	1003470
79	2000000	1026480
80	2000000	1049750
81	2000000	1073280
82	2000000	1097070
83	2000000	1121120
84	2000000	1145430
85	2000000	1170000
86	2000000	1194830
87	2000000	1219920
88	2000000	1245270
89	2000000	1270880
90	2000000	1296750
91	2000000	1322880
92	2000000	1349270
93	2000000	1375920
94	2000000	1402830
95	2000000	1430000
96	2000000	1457430
97	2000000	1485120
98	2000000	1513070
99	2000000	1541280
100	2000000	1569750
101	2000000	1598480
102	2000000	1627470
103	2000000	1656720
104	2000000	1686230
105	2000000	1716000
106	2000000	1746030
107	2000000	1776320
108	2000000	1806870
109	2000000	1837680
110	2000000	1868750
111	2000000	1900080
112	2000000	1931670
113	2000000	1963520
114	2000000	1995630
115	2000000	2028000
116	2000000	2060630
117	2000000	2093520
118	2000000	2126670
119	2000000	2160080
120	2000000	2193750
121	2000000	2227680
122	2000000	2261870
123	2000000	2296320
124	2000000	2331030
125	2000000	2366000
126	2000000	2401230
127	2000000	2436720
128	2000000	2472470
129	2000000	2508480
130	2000000	2544750
131	2000000	2581280
132	2000000	2618070
133	2000000	2655120
134	2000000	2692430
135	2000000	2730000
136	2000000	2767830
137	2000000	2805920
138	2000000	2844270
139	2000000	2882880
140	2000000	2921750
141	2000000	2960880
142	2000000	3000270
143	2000000	3039920
144	2000000	3079830
145	2000000	3120000
146	2000000	3160430
147	2000000	3201120
148	2000000	3242070
149	2000000	3283280
150	2000000	3324750
