level_range_min	level_range_max	level_range_desc
1	9	在新手村义军首领白秋琳的指引下开始剧情任务，学习各项基本技能，熟悉整个江湖世界。
10	19	加入心仪的门派，并随着剧情任务的推进，在新手村中学习各项生活技能，为将来闯荡江湖做好准备。
20	29	初入江湖，回师门领取秘籍和修炼珠，在门派的周围练习技能，熟悉装备，并完成各派掌门交代的重任。完成这阶段的剧情任务将会获得马匹。
30	39	策马纵横江湖，在门派的周围进一步提升武艺，完成剧情任务和包万同义军任务，体验惊险的藏宝图挖宝之旅，参加猜灯谜活动。为50级后进入城市，去独力行侠做好准备。
40	49	策马纵横江湖，在门派的周围进一步提升武艺，完成剧情任务和包万同义军任务，体验惊险的藏宝图挖宝之旅，参加猜灯谜活动。为50级后进入城市，去独力行侠做好准备。
50	59	继续调查游龙珏的消息，组建属于自己的家族，参加门派竞技，完成官府通缉任务和商会任务，深入白虎堂，挑战武林高手，逐步在武林中博取自己的声名。
60	69	回师门领取五行印，进入洗髓岛试练，投身入热血沸腾的宋金战场，在各大系统中一展身手，壮大自己在武林中的威望。
70	79	在新手村白秋琳处领取中级秘籍任务，通过强化装备进一步提升实力，在各大系统中一展身手，壮大自己在武林中的威望。
80	89	邀请好友一同进入逍遥谷闯关，完成剧情任务，并通过参加各大系统积累自己和帮会的财富和实力，为即将开启的新历程和征战做好准备。
90	99	在新手村白秋琳处领取军营引导任务，进入军营体验丰富多样的任务、以及刺激的副本冒险。
100	150	武林联赛，比武论剑，笑傲江湖，逐鹿天下，呼朋唤友，成就霸业。
