TreasureId	Level	MapName	MapId	MapX	MapY	Desc	Pic	InstancingMapId	InstancingMapX	InstancingMapY	Duration	MaxMap	EnterLimtPerWeek
1	1	雁荡龙湫	36	1655	3231	雁荡龙湫西边的一棵古树下	image\icon\task\treasure\map_001.spr	253	1613	3298	55	0	0
2	1	雁荡龙湫	36	1673	3344	雁荡龙湫西边的一个山崖下	image\icon\task\treasure\map_002.spr	253	1613	3298	55	0	0
3	1	雁荡龙湫	36	1716	3132	雁荡龙湫北边的一个山凹下	image\icon\task\treasure\map_003.spr	253	1613	3298	55	0	0
4	1	雁荡龙湫	36	1905	3351	雁荡龙湫北面的河边	image\icon\task\treasure\map_004.spr	253	1613	3298	55	0	0
5	1	雁荡龙湫	36	1914	3394	雁荡龙湫东面的河边	image\icon\task\treasure\map_005.spr	253	1613	3298	55	0	0
6	1	雁荡龙湫	36	1918	3601	雁荡龙湫的一棵树下	image\icon\task\treasure\map_006.spr	253	1613	3298	55	0	0
7	1	雁荡龙湫	36	1818	3737	雁荡龙湫的一个荷花池边	image\icon\task\treasure\map_007.spr	253	1613	3298	55	0	0
8	1	雁荡龙湫	36	1905	3256	雁荡龙湫的瀑布下	image\icon\task\treasure\map_008.spr	253	1613	3298	55	0	0
9	1	雁荡龙湫	36	1676	3509	雁荡龙湫的一块石头下	image\icon\task\treasure\map_009.spr	253	1613	3298	55	0	0
10	1	龙门客栈	31	1625	3878	龙门客栈荒野外的一堆白骨下	image\icon\task\treasure\map_010.spr	253	1613	3298	55	0	0
11	1	龙门客栈	31	1695	3681	龙门客栈荒野外的一堆白骨下	image\icon\task\treasure\map_011.spr	253	1613	3298	55	0	0
12	1	龙门客栈	31	1960	3304	龙门客栈荒野外的一处废墟下	image\icon\task\treasure\map_012.spr	253	1613	3298	55	0	0
13	1	龙门客栈	31	1692	3364	龙门客栈荒野外的一簇树木旁	image\icon\task\treasure\map_013.spr	253	1613	3298	55	0	0
14	1	龙门客栈	31	1741	3645	龙门客栈的一处绿洲旁	image\icon\task\treasure\map_014.spr	253	1613	3298	55	0	0
15	1	龙门客栈	31	1951	3723	龙门客栈的一处绿洲旁	image\icon\task\treasure\map_015.spr	253	1613	3298	55	0	0
16	1	龙门客栈	31	1946	3417	龙门客栈荒野外的一个山丘下	image\icon\task\treasure\map_016.spr	253	1613	3298	55	0	0
17	1	龙门客栈	31	1999	3999	龙门客栈的一处绿洲旁	image\icon\task\treasure\map_017.spr	253	1613	3298	55	0	0
18	1	龙门客栈	31	1928	3761	龙门客栈外的一棵枯树下	image\icon\task\treasure\map_018.spr	253	1613	3298	55	0	0
19	2	白族市集	35	2020	3772	白族市集外的一棵枯树下	image\icon\task\treasure\map_019.spr	254	1572	3172	60	0	6
20	2	白族市集	35	1924	3716	白族市集外的一座废弃的佛像下	image\icon\task\treasure\map_020.spr	254	1572	3172	60	0	6
21	2	白族市集	35	1748	3696	白族市集外的一棵大树下	image\icon\task\treasure\map_021.spr	254	1572	3172	60	0	6
22	2	白族市集	35	1704	3681	白族市集外的一棵大树下	image\icon\task\treasure\map_022.spr	254	1572	3172	60	0	6
23	2	白族市集	35	1802	3618	白族市集的一个水池边	image\icon\task\treasure\map_023.spr	254	1572	3172	60	0	6
24	2	白族市集	35	1994	3802	白族市集外的一棵枯树下	image\icon\task\treasure\map_024.spr	254	1572	3172	60	0	6
25	2	白族市集	35	1863	3252	白族市集外的一棵大树下	image\icon\task\treasure\map_025.spr	254	1572	3172	60	0	6
26	2	白族市集	35	1730	3271	白族市集外的一棵大树下	image\icon\task\treasure\map_026.spr	254	1572	3172	60	0	6
27	2	潼关	40	1630	3779	潼关西南面的一棵枯树旁	image\icon\task\treasure\map_027.spr	272	1546	3560	60	0	6
28	2	潼关	40	1605	3556	潼关外的一段城墙下	image\icon\task\treasure\map_028.spr	272	1546	3560	60	0	6
29	2	潼关	40	1611	3323	潼关南面几个破旧的箱子旁	image\icon\task\treasure\map_029.spr	272	1546	3560	60	0	6
30	2	潼关	40	1651	3665	潼关外的一棵大树下	image\icon\task\treasure\map_030.spr	272	1546	3560	60	0	6
31	2	潼关	40	1980	3780	潼关西面的几棵大树旁	image\icon\task\treasure\map_031.spr	272	1546	3560	60	0	6
32	2	潼关	40	1745	3650	潼关外一处马车残骸旁	image\icon\task\treasure\map_032.spr	272	1546	3560	60	0	6
33	2	潼关	40	1997	3594	潼关东面几棵大树之间	image\icon\task\treasure\map_033.spr	272	1546	3560	60	0	6
34	2	居延泽	94	1829	3851	居延泽外一座破败的坟墓边	image\icon\task\treasure\map_034.spr	272	1546	3560	60	0	6
35	2	居延泽	94	1838	3770	居延泽中部的悬崖下	image\icon\task\treasure\map_035.spr	272	1546	3560	60	0	6
36	2	居延泽	94	1785	3410	居延泽北部的水塘边	image\icon\task\treasure\map_036.spr	272	1546	3560	60	0	6
37	2	居延泽	94	1614	3447	居延泽西边的一棵大树下	image\icon\task\treasure\map_037.spr	272	1546	3560	60	0	6
38	2	居延泽	94	1726	3703	居延泽中部的几棵大树间	image\icon\task\treasure\map_038.spr	272	1546	3560	60	0	6
39	3	祁连山	39	1798	3539	祁连山的一处山崖下	image\icon\task\treasure\map_039.spr	287	1527	3276	120	0	6
40	3	祁连山	39	1602	3617	祁连山山崖边突出的一棵树下	image\icon\task\treasure\map_040.spr	287	1527	3276	120	0	6
41	3	祁连山	39	1850	3611	祁连山的两棵树中间	image\icon\task\treasure\map_041.spr	287	1527	3276	120	0	6
42	3	祁连山	39	1885	3758	祁连山的一个土堆中	image\icon\task\treasure\map_042.spr	287	1527	3276	120	0	6
