NpcId	Level	Name	Rate1	Rate2	Rate3	Rate4
6891	120	白起	1000			
6892	120	蚀月教左护法	150000			
6893	120	蚀月教右护法	150000			
6894	120	蚀月教传令使	158700			
6895	120	夏小倩	75000			
6896	120	秦仲	75000			
6897	120	木超	75000			
6898	120	紫苑	75000			
6899	120	云雪山	50000			
6900	120	刑捕头	50000			
6901	120	万老癫	50000			
6902	120	高士贤	50000			
6903	120	拓拔山渊	20000			
6904	120	杨柳	20000			
6905	120	神枪方晚	10000			
6906	120	赵应仙	10000			
6907	120	香玉仙	10000			
6908	120	蛮僧不戒和尚	10000			
6909	120	南郭儒	10000			
6910	120	莺莺	30000			
6911	120	柔小翠	2000			
6912	120	张善德	2000			
6913	120	贾逸山	2000			
6914	120	乌山青	2000			
6915	120	陈无命	2000			
6916	120	叶静	15000			
6917	120	宝玉	15000			
6918	120	秦始皇	300			
