TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	ActionKind	RandCallBoss	BossId
Số nhiệm vụ	Tên nhân vật	Loại nhiệm vụ	Số hiệu Id bản đồ	Tọa độ X bản đồ	Tọa độ Y bản đồ	Tên bản đồ	NpcId	Số lượng	Cấp đoạn	Loại hành vi boss	Xác suất tử vong triệu boss (Tổng xác suất 100 vạn)	Id của boss
50001	Bộc Tán A Lỗ	KillNpc	86	1851	3899	Thái Hành Cổ Kính	2995	1	1	1		
50002	Bào Triệt Sơn	KillNpc	86	1819	3354	Thái Hành Cổ Kính	2996	1	1	0		
50003	Thái Cô Trần	KillNpc	86	1710	3289	Thái Hành Cổ Kính	2997	1	1	0		
50004	Tào An Phủ	KillNpc	86	1712	3918	Thái Hành Cổ Kính	2998	1	1	0		
50005	Lương Ất Xương	KillNpc	87	1817	3396	Đại Tán Quan	2999	1	1	1		
50006	Cốc Kiếm Thu	KillNpc	87	1583	3885	Đại Tán Quan	3000	1	1	0		
50007	Cố Thủ Đằng	KillNpc	87	1785	3530	Đại Tán Quan	3001	1	1	0		
50008	Quan Thiên Vấn	KillNpc	87	1870	3948	Đại Tán Quan	3002	1	1	0		
50009	Giả Thiện Nhân	KillNpc	88	1920	3875	Hán Thủy Cổ Độ	3003	1	1	1		
50010	Giang Trầm Nhạn	KillNpc	88	1602	3604	Hán Thủy Cổ Độ	3004	1	1	0		
50011	Khương Tự Dao	KillNpc	88	1888	3282	Hán Thủy Cổ Độ	3005	1	1	0		
50012	Giải Qui Nam	KillNpc	88	1925	3551	Hán Thủy Cổ Độ	3006	1	1	0		
50013	Kha Hùng Phi	KillNpc	89	1555	3189	Hàn Sơn Cổ Sát	3007	1	1	1		
50014	Khổng Bất Dung	KillNpc	89	1610	3694	Hàn Sơn Cổ Sát	3008	1	1	0		
50015	Lôi Cầu Khách	KillNpc	89	1897	3692	Hàn Sơn Cổ Sát	3009	1	1	0		
50016	Lý Hành Kiệm	KillNpc	89	1923	3188	Hàn Sơn Cổ Sát	3010	1	1	0		
50017	Tần Tư Du	KillNpc	90	1932	3928	Cán Hoa Khê	3011	1	1	1		
50018	Khuất Hướng Vinh	KillNpc	90	1925	3228	Cán Hoa Khê	3012	1	1	0		
50019	Nhậm Thương Khung	KillNpc	90	1606	3331	Cán Hoa Khê	3013	1	1	0		
50020	Tang Thương Hải	KillNpc	90	1721	3996	Cán Hoa Khê	3014	1	1	0		
50021	Tô Cổ Ngâm	KillNpc	91	1722	3252	Nhĩ Hải Ma Nham	3015	1	1	1		
50022	Tôn Văn Bưu	KillNpc	91	1710	3788	Nhĩ Hải Ma Nham	3016	1	1	0		
50023	Đàm Thiên Quân	KillNpc	91	1899	3754	Nhĩ Hải Ma Nham	3017	1	1	0		
50024	Đường Bác Văn	KillNpc	91	1963	3299	Nhĩ Hải Ma Nham	3018	1	1	0		
50025	Ngô Tranh Tranh	KillNpc	92	2013	3794	Thái Thạch Cơ	3019	1	1	1		
50026	Vũ Nhất Đao	KillNpc	92	1823	3209	Thái Thạch Cơ	3020	1	1	0		
50027	Tây Môn Vô Danh	KillNpc	92	1603	3208	Thái Thạch Cơ	3021	1	1	0		
50028	Hạng Lệnh Thành	KillNpc	92	1703	3679	Thái Thạch Cơ	3022	1	1	0		
50029	Bồ Sát Sa Hổ	KillNpc	93	1679	3916	Dược Vương Động	3023	1	2	1		
50030	Hạ Thiếu Hùng	KillNpc	93	1654	3352	Dược Vương Động	3024	1	2	0		
50031	Hồ Nhất Lang	KillNpc	93	1945	3325	Dược Vương Động	3025	1	2	0		
50032	Hoàng Lực Báo	KillNpc	93	1875	3475	Dược Vương Động	3026	1	2	0		
50033	Lâu Kế Thiện	KillNpc	94	1605	3788	Cư Diên Trạch	3027	1	2	1		
50034	Lư Quán Bắc	KillNpc	94	1713	3250	Cư Diên Trạch	3028	1	2	0		
50035	Lục Trọng Hiền	KillNpc	94	1983	3724	Cư Diên Trạch	3029	1	2	0		
50036	Lạc Nhĩ Kim	KillNpc	94	1716	3746	Cư Diên Trạch	3030	1	2	0		
50037	Thượng Quan Ẩn	KillNpc	95	1738	3256	Phục Ngưu Sơn	3031	1	2	1		
50038	Thiệu Thất Sát	KillNpc	95	1611	3838	Phục Ngưu Sơn	3032	1	2	0		
50039	Thi Hổ Báo	KillNpc	95	1836	3941	Phục Ngưu Sơn	3033	1	2	0		
50040	Thạch Cố Kiều	KillNpc	95	1874	3280	Phục Ngưu Sơn	3034	1	2	0		
50041	Đường Cừu Chi	KillNpc	96	1948	3456	Hổ Khâu Kiếm Trì	3035	1	2	1		
50042	Đào Đảo Chủ	KillNpc	96	1770	3225	Hổ Khâu Kiếm Trì	3036	1	2	0		
50043	Điền Vô Đạo	KillNpc	96	1576	3898	Hổ Khâu Kiếm Trì	3037	1	2	0		
50044	Đồng Bất Phúc	KillNpc	96	1835	3707	Hổ Khâu Kiếm Trì	3038	1	2	0		
50045	Vạn Tiêu Sơn	KillNpc	97	1636	3489	Hưởng Thủy Động	3039	1	2	1		
50046	Uông Thệ Thủy	KillNpc	97	1795	3276	Hưởng Thủy Động	3040	1	2	0		
