nBase	nAdd1	nAdd2	nAdd3
50	55	61	66
51	56	62	68
52	58	64	70
53	59	65	71
54	60	66	73
55	61	68	74
56	62	69	76
57	64	71	78
58	65	72	79
59	66	73	81
60	67	75	82
61	65	69	74
62	66	71	75
63	67	72	77
64	68	73	78
65	70	75	80
66	71	76	82
67	72	78	83
68	73	79	85
69	74	80	86
70	76	82	88
71	77	83	90
72	78	85	91
73	79	86	93
74	80	87	94
75	82	89	96
76	83	90	98
77	84	92	99
78	85	93	101
79	86	94	102
80	88	96	104
81	89	97	106
82	90	99	107
83	91	100	109
84	92	101	110
85	94	103	112
86	95	104	114
87	96	106	115
88	97	107	117
89	98	108	118
90	100	110	120
91	101	111	122
92	102	113	123
93	103	114	125
94	104	115	126
95	106	117	128
96	107	118	130
97	108	120	131
98	109	121	133
99	110	122	134
100	112	124	136
101	113	125	138
102	114	127	139
103	115	128	141
104	116	129	142
105	118	131	144
106	119	132	146
107	120	134	147
108	121	135	149
109	122	136	150
110	124	138	152
111	125	139	154
112	126	141	155
113	127	142	157
114	128	143	158
115	130	145	160
116	131	146	162
117	132	148	163
118	133	149	165
119	134	150	166
120	136	152	168
121	137	153	170
122	138	155	171
123	139	156	173
124	140	157	174
125	142	159	176
126	143	160	178
127	144	162	179
128	145	163	181
129	146	164	182
130	148	166	184
131	149	167	186
132	150	169	187
133	151	170	189
134	152	171	190
135	154	173	192
136	155	174	194
137	156	176	195
138	157	177	197
139	158	178	198
140	160	180	200
141	161	181	202
142	162	183	203
143	163	184	205
144	164	185	206
145	166	187	208
146	167	188	210
147	168	190	211
148	169	191	213
149	170	192	214
150	172	194	216
