ClassName	X	Y
1_yelang_1	41344	82432
1_yelang_1	44320	79072
1_yelang_2	42400	80576
1_yelang_2	44224	82208
1_yelang_3	40832	82208
1_yelang_3	41120	81664
1_yelang_3	41120	83008
1_yelang_3	41856	80160
1_yelang_3	41824	80864
1_yelang_3	41824	81824
1_yelang_3	41536	81632
1_yelang_3	41856	82496
1_yelang_3	41664	83008
1_yelang_3	42240	79936
1_yelang_3	42208	81216
1_yelang_3	42624	80000
1_yelang_3	42848	80576
1_yelang_3	42624	81152
1_yelang_3	44000	79200
1_yelang_3	43872	78880
1_yelang_3	44000	81440
1_yelang_3	43680	81792
1_yelang_3	43712	82432
1_yelang_3	44128	78912
1_yelang_3	44512	79264
1_yelang_3	44480	81600
1_yelang_3	44480	82912
1_yelang_3	44032	82912
1_yelang_3	44640	78944
1_yelang_3	44832	79168
1_yelang_3	44960	78848
1_yelang_3	44640	82272
1_langwang	44288	77344
1_gouhuo	44288	77344
1_wanjiachushengdian	42816	82144
2_heixiong_1	46752	85760
2_heixiong_1	48448	82432
2_heixiong_2	46976	83392
2_heixiong_2	48320	84000
2_heixiong_3	46400	83360
2_heixiong_3	46304	85344
2_heixiong_3	46336	86048
2_heixiong_3	46688	82784
2_heixiong_3	47072	82784
2_heixiong_3	46720	84032
2_heixiong_3	46656	84992
2_heixiong_3	46784	86464
2_heixiong_3	47360	83392
2_heixiong_3	47104	84032
2_heixiong_3	47104	85344
2_heixiong_3	47136	86048
2_heixiong_3	48064	82208
2_heixiong_3	48096	82720
2_heixiong_3	47904	84000
2_heixiong_3	48096	84352
2_heixiong_3	48384	81888
2_heixiong_3	48416	83008
2_heixiong_3	48128	83584
2_heixiong_3	48384	83552
2_heixiong_3	48576	84000
2_heixiong_3	48416	84352
2_heixiong_3	48704	82144
2_heixiong_3	48704	82688
2_heixiong_4	48032	78688
2_heixiong_4	47840	78912
2_heixiong_4	47872	79264
2_heixiong_4	48128	79456
2_xiongwang	48096	79072
2_gouhuo	48096	79072
2_renxin	48192	85600
2_wanjiachushengdian	48032	85024
3_huanghu_3	50624	78176
3_huanghu_3	50656	81696
3_huanghu_3	50432	81824
3_huanghu_3	50432	82112
3_huanghu_3	50656	82272
3_huanghu_3	50720	77888
3_huanghu_3	50720	78496
3_huanghu_3	50912	77888
3_huanghu_3	50912	78496
3_huanghu_3	51040	78208
3_huanghu_3	50880	81824
3_huanghu_3	50880	82112
3_huanghu_3	51488	80288
3_huanghu_3	51584	80000
3_huanghu_3	51584	80608
3_huanghu_3	51776	80000
3_huanghu_3	51776	80608
3_huanghu_3	51872	80320
3_huanghu_3	52608	78944
3_huanghu_3	52416	79040
3_huanghu_3	52416	79296
3_huanghu_3	52608	79456
3_huanghu_3	52800	79072
3_huanghu_3	52800	79296
3_huanghu_4	52832	76768
3_huanghu_4	52864	77152
3_huanghu_4	53088	77376
3_huanghu_4	53376	77248
3_huwang	53152	76864
3_gouhuo	53152	76864
3_shidui_jiguan	50656	81984
3_shidui_jiguan	50848	78208
3_shidui_jiguan	51712	80320
3_shidui_jiguan	52608	79200
3_wanjiachushengdian	52832	77408
4_eyu_1	54112	94912
4_eyu_1	54688	97536
4_eyu_2	53664	98048
4_eyu_2	54336	96064
4_eyu_3	53600	94880
4_eyu_3	53728	96096
4_eyu_3	53440	96032
4_eyu_3	53632	95616
4_eyu_3	53472	96960
4_eyu_3	53248	97376
4_eyu_3	53408	97568
4_eyu_3	53248	97856
4_eyu_3	53568	97824
4_eyu_3	53600	98720
4_eyu_3	53248	98304
4_eyu_3	53344	98784
4_eyu_3	53504	99072
4_eyu_3	53344	99456
4_eyu_3	53664	99424
4_eyu_3	54208	94432
4_eyu_3	53920	94560
4_eyu_3	53824	95136
4_eyu_3	54048	95872
4_eyu_3	53952	95488
4_eyu_3	53792	97024
4_eyu_3	54144	96352
4_eyu_3	53760	97472
4_eyu_3	54080	97280
4_eyu_3	53984	97760
4_eyu_3	53920	98176
4_eyu_3	53856	99168
4_eyu_3	54048	98912
4_eyu_3	54144	98560
4_eyu_3	54016	99488
4_eyu_3	54688	94848
4_eyu_3	54496	94656
4_eyu_3	54720	96032
4_eyu_3	54496	95648
4_eyu_3	54400	95232
4_eyu_3	54720	97024
4_eyu_3	54432	97120
4_eyu_3	54496	96608
4_eyu_3	54336	98208
4_eyu_3	54272	97856
4_eyu_3	54560	97920
4_eyu_3	54624	98272
4_eyu_3	54432	98624
4_eyu_3	55200	97120
4_eyu_3	54944	96864
4_eyu_3	54880	97984
4_eyu_3	55136	97760
4_eyu_3	54880	98528
4_gouhuo	54880	98528
4_wanjiachushengdian	54400	97600
5_eyu_1	55360	91936
